Location,CO2_Emissions,CH4_Emissions,N2O_Emissions,Population,Land_Use,Date
Region1,219.3129303824123,189.39944834499747,35.116115340573856,29474,Agricultural,2023-02-03
Region4,327.985964280506,205.73907918822067,28.87749546900716,12989,Forested,2023-02-04
Region2,336.3491044992693,205.48151236975065,20.41329099943843,2614,Agricultural,2023-02-05
Region3,329.7300995398315,101.884512869071,61.94262196183076,36695,Agricultural,2023-02-06
Region4,361.28032794285343,124.76262758651228,72.57430053142174,26409,Forested,2023-02-07
Region4,360.8413080006756,167.5199270392778,70.47614265362401,38708,Agricultural,2023-02-08
Region1,272.56737417358954,104.5643804848934,95.39749186484566,2291,Forested,2023-02-09
Region3,458.6186383404252,124.17055984357776,10.243289250415245,26881,Forested,2023-02-10
Region4,247.0247480191586,89.41085603712793,68.24769885046325,18767,Forested,2023-02-11
Region1,274.3459701062507,141.97117675120148,64.03530133878756,5845,Agricultural,2023-02-12
Region2,456.76934200626886,58.922460250822816,62.986564897325934,22922,Forested,2023-02-13
Region4,422.4775956184343,209.9591769141236,96.64932878562182,45289,Urban,2023-02-14
Region2,381.5554334161465,65.39128939732655,11.518450603303572,11768,Agricultural,2023-02-15
Region4,140.09075492492045,153.7670297663052,72.6834187631305,3593,Agricultural,2023-02-16
Region4,467.7930454978694,111.36201990903922,83.23107847316771,35278,Urban,2023-02-17
Region3,385.69651981964455,165.5085897662751,55.88264769594257,42768,Urban,2023-02-18
Region4,499.5388026271466,241.886668166685,40.05683826371282,27952,Urban,2023-02-19
Region1,159.77932186319748,179.11404889120078,81.17561469046645,2130,Urban,2023-02-20
Region2,447.2504229472857,57.07248715109819,18.751863306918217,34363,Forested,2023-02-21
Region2,164.99717387054994,136.08048790161223,49.78320739569328,5850,Agricultural,2023-02-22
Region2,346.2238257135377,152.00337046365004,56.79571371137544,22399,Agricultural,2023-02-23
Region4,149.5279931397766,157.2354989406904,72.45607698410927,6535,Urban,2023-02-24
Region1,439.20329172889376,186.2785021207676,18.17971588291685,42622,Forested,2023-02-25
Region4,422.9275834900043,105.5192195463532,30.498355138407486,24616,Forested,2023-02-26
Region3,327.6402954458373,75.77211309326404,46.9271406421113,41677,Urban,2023-02-27
Region1,262.8733188903999,128.53513530941888,66.09652057181177,33847,Urban,2023-02-28
Region4,127.66679818205522,241.28114455918976,89.82647030956757,44827,Urban,2023-03-01
Region4,378.9715092578255,87.42617835016895,65.69435514172389,45428,Urban,2023-03-02
Region3,281.41707307122755,230.7967909856474,22.011532384144097,28309,Forested,2023-03-03
Region4,388.8222397881392,158.76119001546527,98.2522119508554,6130,Agricultural,2023-03-04
Region3,446.5529303714517,141.38228432915315,88.46071612799436,43601,Forested,2023-03-05
Region4,490.2086020011543,226.40828204597796,55.24486850307916,42808,Agricultural,2023-03-06
Region1,442.3213369570444,141.72079235371717,93.01131836169696,28718,Agricultural,2023-03-07
Region3,104.68563367400078,194.83352732230864,58.72427143814222,45766,Agricultural,2023-03-08
Region1,243.9912257913456,129.8050643406204,93.09754611002468,2731,Forested,2023-03-09
Region1,391.9962249696232,230.80887858019156,84.69076317430088,22824,Urban,2023-03-10
Region1,168.6518709045762,188.00500403824543,97.14577692648676,43113,Urban,2023-03-11
Region2,308.4146424816517,189.92441085010336,92.78045297003425,27418,Forested,2023-03-12
Region2,121.73519533570143,115.54408031142378,13.243043568571252,16200,Forested,2023-03-13
Region3,179.99860995856002,201.35572854737785,25.729480374484595,17747,Agricultural,2023-03-14
Region1,107.4087177842456,177.21221108942825,45.02212093910672,5562,Forested,2023-03-15
Region1,417.4790813429682,98.00405467594192,95.69284275658786,9889,Agricultural,2023-03-16
Region2,189.56987522415204,82.10776449705128,37.00260275283367,20862,Forested,2023-03-17
Region4,238.1406722787611,209.27829490346636,24.44208794988409,41719,Urban,2023-03-18
Region1,471.23251738623634,241.8333206070445,89.76741994779039,10103,Urban,2023-03-19
Region2,381.76576076941313,141.6277654520086,50.17549739348826,45572,Urban,2023-03-20
Region3,112.73557181252312,168.19683306473698,91.70880349188934,4399,Forested,2023-03-21
Region3,165.8776625991651,221.54452883871093,24.42074196881289,14595,Agricultural,2023-03-22
Region4,348.59136059990544,141.44469067077142,69.50057603572895,15552,Urban,2023-03-23
Region1,330.891435441667,240.37489536654724,49.623737754654265,5409,Agricultural,2023-03-24
Region2,195.15712854980345,165.1502324089745,16.883809212725687,44224,Urban,2023-03-25
Region2,473.6855991699175,214.15342414026296,72.68168301872505,31668,Agricultural,2023-03-26
Region4,345.5863823863584,231.7687436825477,32.26588799852384,19701,Forested,2023-03-27
Region2,314.2531212099833,213.10476375371377,13.565397032156596,7034,Forested,2023-03-28
Region2,335.9639905418284,81.88289268979119,15.394986842461591,9142,Agricultural,2023-03-29
Region4,392.0488118067079,175.7796878123401,15.49706833601086,6703,Forested,2023-03-30
Region3,224.77799819184077,129.68685172393543,91.69596617365356,31391,Agricultural,2023-03-31
Region4,259.2884248864368,62.54259040466914,76.58955260461909,28948,Forested,2023-04-01
Region4,183.93749959004884,134.8064503779684,90.82561214923616,31955,Forested,2023-04-02
Region3,174.47720235213447,101.73681337788152,70.53240801668693,24797,Agricultural,2023-04-03
Region3,477.7489559935734,219.80766168570216,57.60459361277948,23572,Urban,2023-04-04
Region4,395.8203180197151,56.66092530933924,37.40017279126404,8951,Urban,2023-04-05
Region1,296.1835234470268,241.7965443726947,99.8166026195806,44005,Urban,2023-04-06
Region3,190.9658511893293,121.07376969438592,42.59701530454504,19007,Agricultural,2023-04-07
Region4,201.7425927081572,121.34137808050858,52.35840542925186,7091,Urban,2023-04-08
Region2,123.21166412955024,53.265700536741576,44.04206574311156,35381,Forested,2023-04-09
Region1,273.76665022324835,87.04646504723678,98.15742364019128,42470,Urban,2023-04-10
Region2,224.71835279764105,130.25190016072173,25.71925468555052,8581,Forested,2023-04-11
Region3,378.5373955261838,235.8582834605428,39.51892008172717,23111,Urban,2023-04-12
Region1,251.1007357169924,69.92298604425426,71.23137994135014,29782,Urban,2023-04-13
Region4,171.84147102385393,239.0603066958159,15.688685650476758,17082,Agricultural,2023-04-14
Region1,109.87149135653247,223.89770610932644,64.65244366103869,41580,Forested,2023-04-15
Region3,126.89985258529944,140.83247938151035,52.98818525887745,30212,Forested,2023-04-16
Region1,371.7571093994269,115.340176353652,35.5599979085891,27673,Forested,2023-04-17
Region4,281.4787378224181,96.54882585581136,31.45719528316522,6041,Urban,2023-04-18
Region4,314.6316844434889,172.89294129537487,56.30614689688811,19775,Urban,2023-04-19
Region1,458.6685172161368,56.61491829510113,43.11348224833372,49697,Agricultural,2023-04-20
Region4,496.1355789586817,53.12121288936565,51.08679021363898,41656,Agricultural,2023-04-21
Region1,186.7587937593896,135.75914449964756,40.37296435878159,8209,Agricultural,2023-04-22
Region1,365.2312812400403,63.61481479494404,97.34443242363798,10690,Urban,2023-04-23
Region1,205.32895069486025,100.38819764921858,22.009548857104363,43178,Agricultural,2023-04-24
Region1,108.26039978629149,94.23218306921676,18.71235578605368,40855,Forested,2023-04-25
Region3,403.3514615344566,100.6382387445704,40.905255591182446,32398,Agricultural,2023-04-26
Region4,228.00686032898716,76.21104624305156,63.19242107834421,2344,Urban,2023-04-27
Region1,253.3855576687592,52.40724457953085,69.32588246650255,17620,Agricultural,2023-04-28
Region4,335.3268454214423,73.09685942774962,45.753107245123786,30334,Forested,2023-04-29
Region3,432.4193820944762,173.69605190254958,99.9350194529954,39986,Forested,2023-04-30
Region4,351.5927374364595,244.85124256361007,41.67036965737383,18570,Forested,2023-05-01
Region4,449.0602621789581,248.0690003121788,74.92660011639572,40590,Urban,2023-05-02
Region2,209.4168139262543,131.8108190746123,67.38244250777136,23165,Forested,2023-05-03
Region2,419.2187335650255,82.59088520932107,83.17484769227146,25354,Agricultural,2023-05-04
Region2,174.25437772238087,177.75235147330585,97.8603097108438,42333,Agricultural,2023-05-05
Region1,481.1166627887778,148.06106930974744,90.08142908009862,45192,Forested,2023-05-06
Region2,374.9953105551261,247.8819554568863,78.81057769219377,26983,Urban,2023-05-07
Region2,186.20307084542335,63.06084143035604,72.84236300364614,49428,Forested,2023-05-08
Region2,478.9482361955697,206.64688766276265,40.19483527083096,1611,Agricultural,2023-05-09
Region4,392.3423227080632,107.6796994662988,23.29170203860366,24289,Agricultural,2023-05-10
Region1,201.57665703801032,98.2837240153148,15.63724027538288,48975,Forested,2023-05-11
Region4,185.3247909469928,182.5009143065352,31.771153378133636,4995,Urban,2023-05-12
Region2,307.2802855722653,99.21263699819288,48.90533330631688,47843,Agricultural,2023-05-13
Region3,110.26508722181264,183.17182351183757,56.97966462669842,3352,Urban,2023-05-14
Region1,182.98803017644377,153.46170344045777,79.57751986493845,19058,Forested,2023-05-15
Region2,269.8741875006025,134.81779768716984,96.28668307509336,47404,Agricultural,2023-05-16
Region3,249.66799213369023,160.9375617322838,20.55884323463299,10489,Agricultural,2023-05-17
Region1,285.4301697459243,107.41030398392596,19.63037261744124,24299,Agricultural,2023-05-18
Region3,211.0514825178928,191.3149412545958,63.072525071219566,11525,Agricultural,2023-05-19
Region1,334.7137385832675,132.9713738667128,77.08582665525637,13902,Agricultural,2023-05-20
Region2,445.5422423692926,122.10911209717844,86.33353423122864,35427,Agricultural,2023-05-21
Region4,147.01274238481324,215.7313829111476,94.22488721951098,41094,Forested,2023-05-22
Region3,306.95164286164567,234.99338239063843,98.5083618034578,22707,Agricultural,2023-05-23
Region3,152.82724253806134,59.20146217745938,45.98215230020733,30122,Agricultural,2023-05-24
Region2,386.7438724770375,96.52539856595313,44.23016651748158,8484,Forested,2023-05-25
Region1,258.42388112291746,119.70387389851264,23.302780902754517,28271,Agricultural,2023-05-26
Region4,326.1685247434036,212.9932958740495,71.64409948152036,40603,Agricultural,2023-05-27
Region2,173.31193448563144,247.09828552865952,69.10857625967535,7388,Forested,2023-05-28
Region2,157.93910373735088,243.7943409340704,87.58563362660865,44593,Agricultural,2023-05-29
Region4,295.22251225958183,230.98966910998536,18.75321953088765,45503,Agricultural,2023-05-30
Region1,242.24509513998223,109.31125301280598,54.79992170428076,15272,Forested,2023-05-31
Region3,476.1727781011252,248.4022486828948,62.29737367048568,30073,Agricultural,2023-06-01
Region3,406.1301015227861,99.88400821129024,31.740133603592657,47760,Forested,2023-06-02
Region4,399.4654479402189,71.18123097644644,25.21228655162452,17627,Agricultural,2023-06-03
Region3,461.4878958983734,240.1905222110788,87.36227527776593,36349,Agricultural,2023-06-04
Region4,133.36897417680743,96.68405109361926,15.26814300120029,31302,Forested,2023-06-05
Region4,320.8769879689626,187.9536530155501,52.35588135262656,48002,Urban,2023-06-06
Region4,333.7904275823076,61.671271796117736,20.425060117079678,36983,Forested,2023-06-07
Region3,484.7745514188916,196.14181982549525,51.13528851982306,36568,Urban,2023-06-08
Region2,216.85901071701957,226.34404246676797,98.19660937080783,47865,Urban,2023-06-09
Region3,196.3315119661787,104.4873790931925,48.13357181099255,23794,Agricultural,2023-06-10
Region3,140.11757690619913,125.81137921548572,87.14124257541106,19065,Forested,2023-06-11
Region4,106.57185183658969,124.8592366641832,20.55840077648745,15467,Urban,2023-06-12
Region3,471.8117267168762,199.7576515080266,34.41268690856777,33329,Urban,2023-06-13
Region4,367.9666186363641,97.56144850780775,46.3413466600601,18181,Urban,2023-06-14
Region4,414.0611648092551,84.3706198095286,45.98309260083977,24747,Urban,2023-06-15
Region3,212.69204230157965,139.85832973754762,70.42451308031377,38328,Forested,2023-06-16
Region3,334.5640664745307,110.8936814754639,41.024631463795686,36042,Agricultural,2023-06-17
Region4,125.58210644839244,217.83782445173048,74.23901815690147,12908,Agricultural,2023-06-18
Region1,294.2510383738492,97.54836520312776,67.52682093028533,26021,Urban,2023-06-19
Region2,490.9980558977787,150.47789149785228,45.924503072929575,31554,Agricultural,2023-06-20
Region3,450.6020981266363,238.51671993958607,48.858411488888734,26700,Urban,2023-06-21
Region4,235.26358073473824,176.79953954893216,65.30749298292886,48238,Agricultural,2023-06-22
Region3,484.6280618165994,223.45788109249293,16.303797113018017,45113,Agricultural,2023-06-23
Region2,192.6806505884818,238.04193787095343,84.01660645201213,19039,Forested,2023-06-24
Region3,479.7275289662726,200.1529723772704,68.80790450022732,3422,Urban,2023-06-25
Region2,476.5510818825994,189.91501204495023,75.37082179760517,7437,Forested,2023-06-26
Region1,419.6810349409567,243.59311332084545,58.32307009741514,48735,Agricultural,2023-06-27
Region3,352.17917474671646,248.88015792953587,19.942939989257027,18691,Urban,2023-06-28
Region3,449.7151866499788,140.36433653395193,46.45320519672549,47670,Urban,2023-06-29
Region4,217.2081138031187,64.17395563684167,46.48362245637004,39486,Urban,2023-06-30
Region1,439.5774221251673,108.55880628810375,38.89386910388952,2631,Urban,2023-07-01
Region4,347.1506767670095,80.47094113754609,12.695529241427442,27632,Urban,2023-07-02
Region3,105.2947431035598,133.49727495920234,76.35288183368296,20768,Urban,2023-07-03
Region4,238.89340717288783,76.2578656946512,19.880601225625064,24325,Agricultural,2023-07-04
Region1,159.256344379266,170.8235608041764,64.56773197405766,32388,Urban,2023-07-05
Region1,492.73175592730126,126.5616118315708,73.28957468204942,9378,Agricultural,2023-07-06
Region3,291.3481228159952,229.077176857642,67.13076906403253,4966,Forested,2023-07-07
Region1,298.95654619946504,243.5589343597004,96.32280267801777,21433,Agricultural,2023-07-08
Region3,355.78900655948945,159.37698033388443,19.296833957662475,6596,Forested,2023-07-09
Region4,247.433842451847,104.96471397351932,88.04504431946792,25208,Urban,2023-07-10
Region3,154.76010867423958,168.44608375236737,12.627121136402192,29616,Agricultural,2023-07-11
Region3,428.8470932776982,229.35223164488195,58.14251694343756,23075,Agricultural,2023-07-12
Region4,175.9391647611032,131.34666916714966,46.38192561453329,46303,Agricultural,2023-07-13
Region1,304.5275930185824,160.41565533839417,57.17654743543824,2004,Forested,2023-07-14
Region1,189.7268115898957,104.33055352122918,42.85898893540088,22511,Urban,2023-07-15
Region1,139.13779379761365,141.0888298900054,27.15102234460613,28532,Agricultural,2023-07-16
Region2,444.8766069686733,130.34270707591975,11.72106077038208,47368,Forested,2023-07-17
Region3,489.1677956092521,99.6826930165942,56.63348324120569,22227,Agricultural,2023-07-18
Region1,484.3338632252001,151.17327676506167,85.84991764163581,4293,Agricultural,2023-07-19
